(فَا. مِن اِخْتَبَأَ)	مُخْتَبِئٌ-مُخْتَبِئٌ، ةٌ 	
(فَا. مِن اِخْتَبَرَ)	مُخَتَبِرٌ-مُخَتَبِرٌ، ةٌ 	
(فَا. مِن اِخْتَرَعَ)	مُخْتَرِعٌ-مُخْتَرِعٌ، ةٌ 	
(فَا. مِن اِخْتَرَقَ)	مُخْتَرِقٌ-مُخْتَرِقٌ، ةٌ 	
(فَا. مِن اِخْتَزَلَ)	مُخْتَزِلٌ-مُخْتَزِلٌ، ةٌ 	
(فَا. مِن اِخْتَصَّ)	مُخْتَصّ-مُخْتَصّ، ةٌ 	
(فَا. مِن اِخْتَصَرَ)	مُخْتَصِرٌ-مُخْتَصِرٌ، ةٌ 	
(فَا. مِن اِخْتَفَى)	مُخْتَفِي-مُخْتَفِي، مُخْتَفٍ، ةٌ 	
(فَا. مِن اِخْتَلَطَ)	مُخْتَلِطٌ-مُخْتَلِطٌ، ةٌ 	
(فَا. مِن اِخْتَلَفَ)	مُخْتَلِفٌ-مُخْتَلِفٌ، ةٌ 	
(فَا. مِن اِخْتَلَقَ)	مُخْتَلِقٌ-مُخْتَلِقٌ، ةٌ 	
(فَا. مِن اِخْتَنَقَ)	مُخْتَنِقٌ-مُخْتَنِقٌ، ةٌ 	
(فَا. مِن اِدَّثَّرَ)	مُدَّثِّرٌ-مُدَّثِّرٌ، ةٌ 	
(فَا. مِن اِدَّعَى)	مُدَّعِي-مُدَّعِي، مُدَّعٍ، ةٌ 	
(فا. مِن اِرْتَاحَ)	مُرْتَاحٌ-مُرْتَاحٌ، ةٌ 	
(فَا. مِن اِرْتَاعَ)	مُرْتَاعٌ-مُرْتَاعٌ، ةٌ 	
(فَا. مِن اِرْتَبَطَ)	مُرْتَبِطٌ-مُرْتَبِطٌ، ةٌ 	
(فَا. مِن اِرْتَبَكَ)	مُرْتَبِكٌ-مُرْتَبِكٌ، ةٌ 	
(فَا. مِن اِرْتَجَّ)	مُرْتَجٌّ-مُرْتَجٌّ، ة 	
