(مفع. مِن اِرْتَهَنَ)	مُرْتَهَنٌ-مُرْتَهَنٌ، ةٌ 
(مفع. مِن اِعْتَلَّ)	مُعْتَلٌّ-مُعْتَلٌّ، ةٌ 
(مفع. مِن اِعْتَمَدَ)	مُعْتَمَدٌ-مُعْتَمَدٌ، ةٌ 
(مفع. مِن اِغْتَالَ)	مُغْتَالٌ-مُغْتَالٌ، ةٌ 
(مفع. مِن اِغْتَصَبَ)	مُغْتَصَبٌ-مُغْتَصَبٌ، ةٌ 
(مفع. مِن اِفْتَرَضَ)	مُفْتَرَضٌ-مُفْتَرَضٌ، ةٌ 
(مفع. مِن اِفْتَرَقَ)	مُفْتَرَقٌ-مُفْتَرَقٌ ، ةٌ 
(مفع. مِن اِفْتَعَلَ)	مُفْتَعَلٌ-مُفْتَعَلٌ، ةٌ 
(مفع. من اِقْتَبَسَ)	مُقْتَبَسٌ-مُقْتَبَسٌ، ةٌ 
(مفع. من اِقْتَحَمَ)	مُقْتَحَمٌ-مُقْتَحَمٌ، ةٌ 
(مفع. من اِقْتَرَحَ)	مُقْتَرَحٌ-مُقْتَرَحٌ ، ةٌ 
(مفع. من اِقْتَرَضَ)	مُقْتَرَضٌ-مُقْتَرَضٌ، ةٌ 
(مفع. من اِقْتَضَبَ)	مُقْتَضَبٌ-مُقْتَضَبٌ، ةٌ 
(مفع. من اِقْتَضَى)	مُقْتَضىً-مُقْتَضىً
(مفع. من اِقْتَطَعَ)	مُقْتَطَعٌ-مُقْتَطَعٌ، ةٌ 
(مفع. من اِقْتَطَفَ)	مُقْتَطَفٌ-مُقْتَطَفٌ، ةٌ 
(مفع. من اِقْتَلَعَ)	مُقْتَلَعٌ-مُقْتَلَعٌ، ةٌ 
(مفع. من اِكْتَسَبَ)	مُكْتَسَبٌ-مُكْتَسَبٌ، ةٌ 
(مفع. من اِكْتَسَحَ)	مُكْتَسَحٌ-مُكْتَسَحٌ، ةٌ 
(مفع. من اِكْتَظَّ)	مُكْتَظٌّ-مُكْتَظٌّ، ةٌ 
(مفع. من اِكْتَنَفَ)	مُكْتَنَفٌ-مُكْتَنَفٌ، ةٌ 
(مفع. من اِلْتَاعَ)	مُلْتَاعٌ-مُلْتَاعٌ، ةٌ 
(مفع. من اِلْتَفَّ)	مُلْتَفٌّ-مُلْتَفٌّ، ةٌ 
(مفع. من اِمْتَحَنَ)	مُمْتَحَنٌ-مُمْتَحَنٌ، ةٌ 
(مفع. من اِمْتَلَكَ)	مُمْتَلَكٌ-مُمْتَلَكٌ ، ةٌ 
(مفع. من اِمْتَهَنَ)	مُمْتَهَنٌ-مُمْتَهَنٌ، ةٌ 
(مفع. من اِنْتَجَعَ)	مُنْتَجَعٌ-مُنْتَجَعٌ ، ةٌ 
(مفع. من اِنْتَحَلَ)	مُنْتَحَلٌ-مُنْتَحَلٌ ، ةٌ 
(مفع. من اِنْتَخَبَ)	مُنْتَخَبٌ-مُنْتَخَبٌ ، ةٌ 
(مفع. من اِنْتَدَبَ)	مُنْتَدَبٌ-مُنْتَدَبٌ، ةٌ 
